date,symbol,open,high,low,PX,DAX,WIG,ATX,UKX,LUXX,AEX,CAC,SMI,MAIN,SX5E,MSCI,EURCZK,EURPLN
2015-06-11,PSECZ:PX,1004.94,1008.74,1003.37,1008.37,11332.78,54357.691,2527.3401,6846.7402,1688.5909,484.88,50.555,9146.2998,59.790001,3551.9099,62.0,27.29944,4.14572
2015-06-15,PSECZ:PX,991.14001,991.14001,974.98999,979.23999,10984.97,53977.289,2434.3,6710.52,1664.663,472.89001,49.014999,8924.6699,57.57,3438.0701,61.22,27.25842,4.14398
2015-06-16,PSECZ:PX,979.09998,990.23999,969.71997,990.23999,11044.01,53934.031,2451.7,6710.1001,1671.434,475.17001,49.244999,8965.4004,57.41,3454.0901,61.7,27.25982,4.15377
2015-06-17,PSECZ:PX,990.51001,991.96002,973.09003,978.15997,10978.01,53203.699,2428.72,6680.5498,1660.764,471.56,48.755001,8906.6904,56.650002,3428.76,61.78,27.23458,4.17394
2015-06-18,PSECZ:PX,975.88,976.09003,961.63,967.38,11100.3,53408.531,2443.3999,6707.8799,1656.728,472.97,48.900002,8880.29,56.849998,3450.45,61.96,27.25496,4.17946
2015-06-22,PSECZ:PX,977.28003,996.78003,977.08002,989.33002,11460.5,54104.262,2504.49,6825.6699,1693.972,489.72,50.845001,9021.3701,57.59,3596.0701,62.0,27.20454,4.16161
2015-06-23,PSECZ:PX,989.33002,999.83002,989.33002,995.84003,11542.54,54017.191,2519.05,6834.8701,1709.3719,494.45001,51.450001,9137.3301,59.619999,3625.97,63.23,27.24577,4.16991
2015-06-24,PSECZ:PX,996.26001,998.94,981.64001,982.45001,11471.26,54114.371,2512.8301,6844.7998,1692.835,492.62,51.375,9081.8096,60.560001,3610.95,63.1,27.21811,4.17179
2015-06-25,PSECZ:PX,982.45001,990.13,977.75,983.06,11473.13,54141.199,2499.47,6807.8198,1711.182,492.39001,51.389999,9045.3203,60.25,3610.9099,63.32,27.24294,4.1743
2015-06-29,PSECZ:PX,995.19,995.19,955.48999,972.5,11083.2,52905.488,2427.2,6620.48,1660.787,477.14999,49.605,8868.3896,56.990002,3468.8999,61.79,27.27223,4.19158
2015-06-30,PSECZ:PX,972.83002,981.46997,963.12,981.46997,10944.97,53328.98,2411.77,6520.98,1653.6591,472.57999,48.790001,8780.9102,57.43,3424.3,61.55,27.26442,4.18888
2015-07-01,PSECZ:PX,981.44,991.75,981.04999,986.60999,11180.5,52993.41,2461.1599,6608.5898,1644.913,482.82999,49.73,8908.9902,56.25,3496.28,62.21,27.2485,4.1917
2015-07-02,PSECZ:PX,986.60999,993.67999,986.04999,988.33002,11099.35,53074.711,2437.6299,6630.4702,1638.038,476.95999,49.299999,8961.4805,56.169998,3463.25,62.02,27.10949,4.19152
2015-07-07,PSECZ:PX,977.42999,977.84998,968.90997,969.06,10676.78,51586.16,2330.8401,6432.21,1580.212,456.64001,46.965,8764.1104,57.450001,3294.1899,62.91,27.15472,4.23888
2015-07-08,PSECZ:PX,968.90997,971.12,959.58002,966.92999,10747.3,51370.031,2360.04,6490.7002,1599.811,459.04001,45.889999,8852.4297,56.740002,3327.5,61.69,27.1035,4.21648
2015-07-09,PSECZ:PX,966.81,981.67999,965.91998,981.38,10996.41,51658.711,2411.98,6581.6299,1632.049,469.97,47.040001,8985.0801,56.400002,3420.03,62.23,27.09598,4.1777
2015-07-13,PSECZ:PX,991.53998,1003.88,991.53998,1001.42,11484.38,52773.18,2513.3501,6737.9502,1674.353,489.89999,49.459999,9250.0996,57.849998,3590.4299,64.14,27.05479,4.12979
